index,cpu,ram,disk,network
1,79,58,50,10
2,78,54,52,11
3,79,64,67,13
4,78,66,68,9
5,75,57,58,11
6,74,53,51,9
7,69,57,70,8
8,69,57,68,6
9,68,59,80,9
10,73,59,67,10
11,68,67,94,10
12,77,63,70,9
13,74,59,62,8
14,75,57,57,9
15,80,63,64,8
16,79,66,70,7
17,81,67,64,8
18,79,69,76,8
19,80,68,72,9
20,73,69,88,11
21,75,70,87,6
22,70,66,90,7
23,69,68,97,8
24,72,68,92,6
25,74,69,81,9
26,77,64,71,8
27,74,54,54,10
28,70,56,63,8
29,73,55,59,7
30,79,61,58,9
31,81,63,60,11
32,72,64,78,10
33,72,56,60,9
34,70,53,56,9
35,67,58,75,4
36,72,59,67,8
37,74,63,69,7
38,75,68,77,10
39,79,67,68,11
40,66,57,77,8
41,69,61,74,8
42,76,57,49,8
43,81,61,54,9
44,72,65,81,6
45,74,67,72,8
46,75,68,87,7
47,64,51,65,11
48,68,58,72,9
49,71,65,81,11
50,81,71,73,9
51,81,66,62,9
52,76,63,66,7
53,77,55,58,12
54,75,54,52,7
55,74,56,60,9
56,66,59,81,9
57,71,64,79,8
58,77,67,74,8
59,78,69,80,8
60,82,67,66,7
61,83,70,73,14
62,81,59,61,11
63,48,47,97,14
64,48,45,93,11
65,52,45,82,7
66,54,45,74,6
67,55,48,83,8
68,60,51,73,7
69,60,40,47,11
70,65,53,71,17
71,71,63,81,13
72,72,54,54,11
73,76,58,56,14
74,72,55,60,9
75,75,59,56,9
76,68,51,56,10
77,59,53,84,9
78,64,59,91,5
79,64,46,55,10
80,67,49,59,10
81,75,57,64,10
82,67,51,64,9
83,68,65,91,6
84,69,62,84,6
85,74,66,80,12
86,76,54,52,11
87,73,55,56,7
88,66,53,68,8
89,63,55,76,8
90,56,56,94,18
91,64,56,80,7
92,68,60,81,7
93,44,39,82,8
94,45,40,82,7
95,56,42,61,9
96,67,43,52,13
97,62,50,66,10
98,63,40,59,9
99,66,38,34,11
100,59,43,61,12
101,59,50,82,8
102,74,61,67,14
103,65,55,78,10
104,68,52,66,9
105,61,37,44,14
106,59,34,36,9
107,58,39,47,6
108,63,50,67,8
109,60,56,89,8
110,54,48,79,10
111,59,56,92,10
112,59,41,65,14
113,56,36,44,10
114,64,34,40,13
115,55,23,34,13
116,67,39,40,16
117,70,52,54,11
118,76,58,59,16
119,75,63,71,16
120,75,62,69,13
121,64,57,80,8
122,73,60,66,15
123,63,55,85,14
124,39,7,29,10
125,46,20,44,13
126,52,45,80,12
127,44,36,66,16
128,41,21,49,15
129,39,31,74,9
130,39,36,84,8
131,38,31,73,17
132,35,34,95,17
133,46,42,95,8
134,50,32,61,17
135,54,28,39,9
136,55,34,43,12
137,59,39,54,11
138,59,23,28,12
139,51,23,46,10
140,56,47,70,13
141,52,42,68,9
142,46,34,66,11
143,46,42,90,14
144,56,49,71,10
145,55,39,59,15
146,45,27,49,16
147,44,24,49,16
148,46,26,46,11
149,50,33,53,6
150,51,37,52,12
151,53,35,51,14
152,51,38,64,9
153,50,40,72,9
154,21,16,66,6
155,32,19,67,14
156,27,14,60,10
157,38,32,75,11
158,29,11,56,12
159,17,-1,48,10
160,28,12,48,11
161,33,20,58,9
162,37,19,56,10
163,40,28,69,7
164,47,34,65,12
165,34,12,42,17
166,32,7,45,11
167,35,32,80,8
168,34,30,85,14
169,36,14,41,9
170,40,27,66,14
171,26,0,35,22
172,27,-2,30,16
173,28,13,67,4
174,35,29,78,7
175,30,5,38,18
176,26,0,38,15
177,28,15,59,8
178,39,22,60,9
179,47,45,86,9
180,41,38,88,5
181,35,30,78,13
182,34,11,40,9
183,38,27,59,13
184,44,24,51,12
185,21,2,48,12
186,21,13,67,18
187,14,1,56,13
188,26,17,64,9
189,22,18,66,15
190,13,-1,53,12
191,23,17,74,11
192,21,20,90,14
193,20,14,86,15
194,22,15,76,11
195,20,12,69,12
196,23,17,77,5
197,15,-5,55,17
198,17,11,73,10
199,9,9,71,21
200,8,-11,44,20
201,17,6,63,8
202,23,16,66,5
203,20,14,71,14
204,13,-6,45,19
205,19,16,70,11
206,34,29,85,5
207,19,2,51,15
208,11,-4,60,9
209,25,11,63,11
210,20,8,65,9
211,21,-2,41,8
212,22,1,43,9
213,28,8,43,14
214,36,15,45,13
215,30,20,72,10
216,44,41,95,8
217,34,13,47,22
218,17,5,59,9
219,15,3,58,16
220,9,-8,49,14
221,25,14,65,14
222,21,3,49,12
223,24,6,49,10
224,36,28,72,9
225,25,5,56,11
226,20,10,67,9
227,28,24,78,10
228,27,10,52,16
229,16,-3,46,11
230,36,35,80,10
231,39,30,70,15
232,33,13,44,14
233,28,14,57,7
234,33,22,67,7
235,31,15,54,10
236,33,29,82,10
237,29,17,55,14
238,20,15,71,16
239,17,11,85,22
240,19,6,63,13
241,21,10,57,4
242,27,26,78,12
243,16,0,56,22
244,52,40,63,13
245,38,27,72,15
246,44,42,79,12
247,37,21,54,12
248,34,25,66,10
249,42,40,93,8
250,30,20,61,15
251,24,16,70,13
252,39,41,93,20
253,43,39,95,13
254,36,31,87,13
255,35,27,75,11
256,37,26,65,12
257,39,27,68,10
258,37,29,75,6
259,40,36,85,4
260,45,41,85,11
261,40,30,73,14
262,33,22,63,11
263,32,24,79,10
264,33,27,77,9
265,39,34,79,8
266,45,42,91,13
267,44,44,98,6
268,52,43,75,14
269,44,29,60,11
270,45,31,60,9
271,46,35,65,14
272,36,20,51,9
273,26,4,38,10
274,25,5,44,9
275,44,39,77,17
276,38,29,62,21
277,45,18,32,15
278,51,35,53,6
279,57,40,56,9
280,49,45,83,5
281,44,37,73,14
282,42,25,51,10
283,48,33,57,8
284,48,35,66,5
285,53,47,80,5
286,53,49,75,5
287,44,29,62,8
288,39,27,67,11
289,35,16,49,9
290,36,23,57,8
291,43,41,83,6
292,36,19,66,16
293,31,9,41,14
294,40,18,47,14
295,32,10,42,15
296,34,13,41,16
297,51,32,59,9
298,54,53,88,15
299,55,40,61,12
300,42,33,71,15
301,35,29,81,10
302,31,24,72,11
303,29,16,55,7
304,45,37,66,12
305,57,56,97,16
306,54,52,92,14
307,52,50,89,8
308,58,57,97,8
309,55,42,67,12
310,55,42,60,8
311,64,57,71,13
312,66,54,66,14
313,58,37,46,12
314,57,36,48,10
315,51,42,72,5
316,52,40,70,9
317,54,46,69,8
318,68,60,75,11
319,71,63,74,9
320,65,64,94,10
321,64,57,76,11
322,63,56,81,12
323,50,35,61,14
324,49,30,52,11
325,56,52,85,7
326,53,50,95,25
327,51,50,97,25
328,49,46,86,11
329,55,42,62,10
330,53,40,57,13
331,55,38,55,11
332,53,47,86,4
333,63,53,71,7
334,53,39,62,8
335,50,37,66,11
336,79,70,74,8
337,82,71,70,9
338,79,59,62,12
339,75,57,58,8
340,79,65,63,12
341,81,69,68,15
342,70,57,59,8
343,65,54,69,10
344,65,56,74,10
345,65,59,82,8
346,71,62,79,13
347,62,50,63,9
348,60,53,80,11
349,59,47,68,10
350,58,45,61,7
351,60,52,74,5
352,62,50,66,7
353,65,47,54,7
354,51,35,53,10
355,60,48,66,12
356,73,64,80,8
357,64,52,66,15
358,61,41,51,7
359,60,51,74,10
360,58,51,76,7
361,62,51,68,5
362,71,55,62,5
363,74,60,65,5
364,66,58,75,10
365,57,55,97,9
366,74,64,73,9
367,67,61,86,5
368,66,60,85,5
369,71,65,81,8
370,76,66,74,8
371,77,60,53,8
372,72,54,60,8
373,73,53,53,10
374,72,56,56,8
375,73,57,59,8
376,75,59,62,9
377,73,62,71,9
378,67,64,91,14
379,70,53,63,12
380,68,52,63,8
381,70,52,55,12
382,73,58,69,9
383,71,51,54,10
384,67,52,61,8
385,67,58,73,5
386,66,62,85,6
387,68,62,81,10
388,67,58,76,9
389,69,54,59,6
390,74,60,64,7
391,75,63,72,11
392,79,64,63,13
393,73,54,59,13
394,65,52,69,10
395,69,56,66,10
396,76,69,81,13
397,79,65,67,14
398,82,69,66,15
399,81,70,69,10
400,70,65,85,8
401,70,53,61,17
402,76,51,49,15
403,79,64,62,15
404,83,66,64,15
405,81,64,65,14
406,74,56,59,8
407,68,57,71,7
408,71,60,66,8
409,77,61,61,16
410,79,70,81,10
411,78,72,85,11
412,73,70,81,8
413,74,57,58,8
414,71,56,64,8
415,68,61,83,5
416,67,59,75,7
417,67,61,84,6
418,75,65,72,10
419,82,68,64,13
420,70,64,81,8
421,73,54,56,8
422,75,58,58,12
423,73,67,82,9
424,75,67,77,11
425,72,57,63,9
426,71,55,55,7
427,72,58,66,10
428,59,44,61,8
429,70,48,44,9
430,65,53,72,11
431,58,53,80,6
432,59,57,92,7
433,67,53,67,11
434,71,55,58,8
435,74,55,55,8
436,74,55,56,11
437,69,61,80,9
438,61,54,79,10
439,63,55,79,12
440,62,59,89,10
441,68,58,79,8
442,69,51,56,12
443,68,49,50,10
444,73,62,70,11
445,78,61,64,14
446,76,51,45,11
447,69,41,38,12
448,66,46,50,7
449,65,47,56,8
450,68,53,65,9
451,72,56,63,13
452,78,63,65,15
453,71,65,82,10
454,66,47,56,8
455,70,52,54,7
456,74,55,54,9
457,77,59,59,13
458,52,48,89,6
459,60,38,58,10
460,59,39,50,9
461,56,37,54,16
462,58,38,50,14
463,56,32,48,10
464,58,31,37,10
465,55,38,58,7
466,55,49,83,4
467,69,59,68,12
468,71,38,46,12
469,69,43,43,11
470,49,40,71,10
471,55,46,71,9
472,67,58,77,9
473,66,60,82,14
474,67,54,64,13
475,58,41,53,9
476,60,37,53,13
477,61,44,55,9
478,59,49,74,7
479,55,51,90,8
480,55,50,89,9
481,57,48,71,8
482,59,51,79,7
483,67,53,63,12
484,62,51,71,12
485,47,45,85,15
486,51,42,67,8
487,57,48,73,8
488,56,46,68,10
489,41,28,60,10
490,42,32,68,6
491,44,27,59,9
492,41,32,76,11
493,46,34,67,14
494,47,20,37,9
495,49,30,59,8
496,54,47,76,13
497,50,26,45,13
498,47,21,43,14
499,59,40,55,10
500,59,35,53,9
501,54,41,68,8
502,66,52,63,22
503,55,55,77,24
504,38,24,57,15
505,36,23,61,14
506,37,30,75,9
507,50,30,56,12
508,44,27,57,9
509,53,32,52,9
510,60,42,62,12
511,52,43,72,15
512,51,23,37,21
513,50,29,45,11
514,45,38,75,7
515,46,39,77,6
516,48,37,63,11
517,43,35,76,17
518,43,37,83,14
519,26,7,40,6
520,35,20,59,7
521,23,-1,39,12
522,22,-5,32,8
523,25,14,55,10
524,18,1,46,7
525,25,18,64,5
526,41,23,54,8
527,37,8,35,11
528,36,23,60,8
529,47,30,60,9
530,42,37,80,5
531,21,12,64,17
532,28,8,44,14
533,48,30,56,15
534,30,6,38,16
535,22,0,43,8
536,27,10,51,8
537,34,25,71,10
538,45,34,70,12
539,40,20,46,17
540,43,24,52,14
541,33,13,42,13
542,25,-4,32,13
543,30,8,37,10
544,30,7,39,26
545,34,1,27,14
546,48,36,66,14
547,46,39,77,13
548,40,37,91,17
549,38,31,76,13
550,37,21,57,8
551,43,33,66,7
552,34,26,74,9
553,29,18,64,6
554,29,26,89,11
555,24,11,64,8
556,25,8,50,11
557,24,2,41,10
558,26,18,61,8
559,25,12,64,12
560,20,2,48,10
561,16,1,51,8
562,29,29,82,20
563,33,26,74,18
564,31,25,77,10
565,28,12,61,17
566,22,-3,37,15
567,25,20,63,11
568,29,27,82,8
569,41,27,60,9
570,39,36,93,9
571,42,27,64,14
572,43,26,56,6
573,35,11,41,16
574,26,5,44,11
575,24,2,43,12
576,21,6,51,12
577,18,-10,32,12
578,24,5,43,9
579,14,11,69,18
580,8,-4,66,17
581,15,1,50,12
582,31,26,74,8
583,43,42,77,14
584,19,-6,41,20
585,15,-3,48,13
586,25,5,49,9
587,28,25,80,5
588,47,46,93,12
589,46,30,67,16
590,41,29,63,12
591,47,44,90,8
592,42,35,76,7
593,36,35,93,3
594,40,30,65,8
595,35,32,87,7
596,33,25,73,15
597,34,21,56,15
598,19,3,58,12
599,13,-2,60,17
600,14,-6,45,13
601,13,-6,43,14
602,27,18,65,17
603,21,2,51,16
604,34,18,55,14
605,17,-8,35,13
606,21,-3,41,10
607,23,2,47,10
608,33,16,54,9
609,41,36,83,6
610,39,36,86,5
611,43,33,71,8
612,40,27,61,7
613,47,42,85,4
614,46,44,74,11
615,37,24,67,11
616,30,13,49,7
617,37,32,72,12
618,33,27,70,11
619,28,16,61,14
620,23,4,47,12
621,23,8,55,14
622,21,11,65,14
623,31,27,82,19
624,25,11,55,14
625,19,12,73,10
626,28,17,64,13
627,35,22,56,12
628,42,30,66,8
629,48,41,78,11
630,45,40,92,8
631,37,34,93,6
632,34,20,65,10
633,22,3,49,10
634,29,23,70,7
635,32,18,61,12
636,38,23,57,10
637,39,34,80,8
638,32,23,65,14
639,20,2,48,9
640,66,57,73,21
641,58,45,65,5
642,44,32,59,11
643,37,19,48,9
644,40,27,55,7
645,52,41,68,11
646,56,49,75,14
647,44,24,48,14
648,41,21,44,12
649,50,34,66,12
650,47,26,43,13
651,40,24,64,14
652,32,12,45,13
653,41,18,40,12
654,50,22,39,9
655,50,30,53,5
656,47,46,86,3
657,59,49,69,14
658,41,19,40,17
659,36,11,39,10
660,39,18,43,7
661,45,42,81,5
662,41,24,59,16
663,26,1,39,22
664,26,0,34,13
665,38,24,66,9
666,51,50,87,17
667,33,13,50,18
668,29,8,42,10
669,28,14,57,7
670,64,51,64,7
671,72,55,58,11
672,70,49,50,7
673,63,51,68,3
674,64,55,71,4
675,59,55,87,11
676,69,63,85,12
677,60,41,50,11
678,55,43,62,9
679,55,49,78,8
680,59,51,78,7
681,57,52,83,12
682,55,45,71,10
683,53,44,71,6
684,58,50,75,6
685,57,53,87,5
686,64,56,79,9
687,63,50,67,12
688,59,41,50,9
689,57,38,59,12
690,57,39,55,8
691,60,44,65,10
692,50,30,48,6
693,50,27,45,14
694,46,27,50,10
695,47,29,50,13
696,51,32,59,13
697,50,28,50,12
698,46,27,63,7
699,46,37,72,4
700,52,49,84,8
701,75,69,86,9
702,75,70,87,7
703,75,66,80,7
704,73,54,57,11
705,64,55,68,9
706,62,40,46,9
707,68,47,49,11
708,67,50,51,13
709,62,42,48,9
710,68,61,77,11
711,83,69,66,10
712,78,68,75,12
713,69,63,85,7
714,63,51,64,10
715,64,47,60,9
716,60,47,57,10
717,52,37,55,8
718,63,42,49,8
719,63,50,63,5
720,63,54,72,5
721,67,59,76,13
722,64,56,64,13
723,58,39,54,13
724,58,40,52,10
725,58,44,60,8
726,59,47,64,7
727,62,49,67,8
728,62,53,78,6
729,57,52,84,4
730,58,51,76,4
731,74,61,68,10
732,76,61,65,8
733,74,60,62,12
734,74,55,51,9
735,70,44,46,11
736,67,50,57,7
737,70,56,63,9
738,73,65,77,11
739,74,71,89,12
740,76,59,64,12
741,72,51,51,7
742,75,56,56,8
743,70,63,80,5
744,70,52,63,14
745,69,48,51,11
746,71,51,48,8
747,69,56,68,7
748,71,59,66,6
749,74,57,58,9
750,78,60,52,7
751,78,61,54,7
752,80,65,65,12
753,72,58,65,10
754,66,46,50,9
755,72,51,53,9
756,76,60,59,11
757,71,65,83,5
758,67,62,87,6
759,65,61,86,10
760,74,61,66,9
761,76,69,80,10
762,78,71,79,9
763,72,66,81,9
764,77,67,76,12
765,85,71,67,12
766,87,71,62,13
767,86,68,60,12
768,84,66,65,8
769,76,67,79,9
770,69,64,87,6
771,77,69,81,10
772,78,70,81,8
773,70,60,76,13
774,69,64,86,6
775,81,70,74,5
776,83,69,68,7
777,84,67,62,6
778,84,69,67,8
779,84,70,70,10
780,89,72,62,15
781,88,70,60,13
782,74,63,72,9
783,72,66,80,7
784,75,70,90,6
785,77,65,69,9
786,63,55,71,11
787,67,62,83,11
788,73,62,70,9
789,71,66,86,7
790,74,67,81,7
791,75,59,62,8
792,74,59,62,8
793,81,63,54,13
794,78,64,65,16
795,70,62,62,10
796,64,41,44,12
797,65,45,49,9
798,63,50,60,9
799,57,54,92,12
800,67,56,75,12
801,71,54,57,9
802,64,56,75,8
803,60,55,89,9
804,64,54,75,12
805,60,52,78,9
806,64,51,69,11
807,71,44,46,10
808,69,51,57,11
809,75,59,64,11
810,65,58,77,7
811,65,52,70,11
812,68,53,63,9
813,73,58,58,8
814,75,57,53,12
815,79,63,60,13
816,83,68,65,11
817,81,65,63,12
818,74,66,78,7
819,64,63,94,7
820,72,66,85,13
821,77,68,78,12
822,77,68,78,10
823,53,38,57,6
824,53,41,58,9
825,49,40,70,10
826,48,39,71,9
827,47,40,76,9
828,49,45,89,7
829,60,51,75,9
830,60,54,89,11
831,58,55,94,5
832,63,56,82,7
833,66,58,78,12
834,62,51,65,11
835,53,27,40,12
836,52,28,43,11
837,56,39,59,11
838,68,39,56,13
839,62,41,49,12
840,59,45,61,10
841,57,50,78,8
842,69,58,76,7
843,59,55,89,10
844,56,52,90,8
845,65,59,85,10
846,61,60,86,10
847,48,46,89,14
848,51,37,63,16
849,60,36,49,10
850,58,47,62,7
851,64,58,88,6
852,77,63,65,11
853,83,63,53,11
854,49,37,66,15
855,37,11,37,17
856,39,11,37,19
857,44,15,35,14
858,48,26,47,13
859,40,9,35,12
860,43,29,53,16
861,55,39,76,10
862,59,43,64,9
863,50,43,82,6
864,46,41,80,7
865,41,35,78,19
866,44,36,73,9
867,49,30,56,10
868,44,33,63,11
869,52,40,64,15
870,57,39,51,10
871,54,36,52,14
872,64,56,77,18
873,55,41,63,15
874,44,22,45,11
875,43,31,61,14
876,42,38,79,17
877,56,44,68,15
878,57,39,53,11
879,48,37,65,10
880,49,37,64,7
881,54,37,51,10
882,58,37,48,10
883,54,33,50,7
884,38,29,76,10
885,38,26,62,9
886,38,27,70,9
887,36,22,60,18
888,38,27,68,10
889,38,33,77,23
890,34,30,88,24
891,35,27,73,18
892,35,26,67,11
893,33,29,80,7
894,43,35,77,10
895,46,45,92,12
896,45,30,66,13
897,31,13,47,17
898,31,10,45,15
899,35,13,42,8
900,32,8,37,12
901,27,11,62,10
902,32,32,93,22
903,33,19,61,14
904,33,23,68,6
905,35,18,60,12
906,37,18,48,17
907,41,23,55,10
908,39,31,68,14
909,42,24,58,11
910,46,23,45,12
911,43,32,69,9
912,48,31,53,9
913,47,29,45,8
914,47,28,52,10
915,29,7,38,17
916,25,5,42,13
917,25,18,66,8
918,27,9,57,17
919,25,12,60,7
920,33,19,62,10
921,24,2,43,9
922,27,26,82,26
923,18,14,76,21
924,26,6,43,8
925,33,32,79,7
926,40,27,71,15
927,36,23,64,7
928,37,22,57,9
929,39,30,75,10
930,35,27,70,8
931,25,11,62,22
932,25,0,38,20
933,36,27,65,10
934,35,19,69,17
935,29,11,48,18
936,32,20,63,10
937,35,29,78,6
938,34,32,93,13
939,35,28,80,7
940,35,30,83,7
941,39,38,91,20
942,39,34,83,6
943,29,16,53,14
944,21,6,53,14
945,16,-1,46,11
946,30,18,59,13
947,35,18,52,9
948,36,24,64,8
949,34,25,63,9
950,37,26,69,13
951,37,29,64,8
952,41,22,45,15
953,36,28,71,5
954,41,39,93,2
955,46,45,97,7
956,52,42,70,13
957,39,23,51,6
958,33,29,78,7
959,36,25,70,12
960,25,-2,35,13
961,37,22,52,18
962,42,23,50,19
963,27,11,61,10
964,20,9,60,15
965,13,-9,44,15
966,13,-12,36,17
967,17,-7,48,13
968,19,2,54,10
969,23,-2,41,14
970,26,16,61,6
971,31,27,85,4
972,47,45,89,15
973,46,37,65,27
974,30,23,69,7
975,42,36,84,6
976,50,41,69,10
977,48,44,86,7
978,45,38,68,16
979,36,16,46,9
980,37,31,74,5
981,45,42,93,5
982,45,35,73,9
983,51,49,95,8
984,45,35,71,11
985,36,20,54,9
986,36,25,61,4
987,40,23,49,11
988,37,24,59,9
989,37,30,77,14
990,41,41,96,14
991,46,45,95,11
992,42,32,71,16
993,38,30,67,9
994,45,41,88,21
995,34,22,63,16
996,34,18,48,13
997,36,18,49,8
998,32,24,65,8
999,31,22,69,14
